device_instance,object_identifier,property_name,property_value,address,maxAPDULengthAccepted,segmentationSupported,objectName,description,units
2400002,binaryOutput:7,statusFlags,"[0, 0, 0, 0]",192.168.168.2,480,segmentedBoth,h_1_enable_10,,
2400002,binaryOutput:7,timeDelay,60,192.168.168.2,480,segmentedBoth,h_1_enable_10,,
2400002,binaryOutput:7,timeOfActiveTimeReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 23, 43, 20]}",192.168.168.2,480,segmentedBoth,h_1_enable_10,,
2400002,binaryOutput:7,timeOfStateCountReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 23, 43, 20]}",192.168.168.2,480,segmentedBoth,h_1_enable_10,,
2400002,binaryOutput:8,ackedTransitions,"[1, 1, 1]",192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,activeText,Enabled,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,changeOfStateCount,131,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,changeOfStateTime,"{""date"": [124, 3, 11, 1], ""time"": [4, 30, 10, 12]}",192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,deviceType,,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,elapsedActiveTime,3937260,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,eventDetectionEnable,TRUE,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,eventEnable,"[0, 0, 0]",192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,eventState,normal,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,eventTimeStamps,"[<bacpypes.basetypes.TimeStamp object at 0x03623E38>, <bacpypes.basetypes.TimeStamp object at 0x03623E50>, <bacpypes.basetypes.TimeStamp object at 0x03623568>]",192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,feedbackValue,active,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,inactiveText,Disabled,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,minimumOffTime,0,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,minimumOnTime,0,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,notificationClass,1,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,notifyType,alarm,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,outOfService,FALSE,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,polarity,normal,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,presentValue,active,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""enumerated"": 1}]",192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,reliability,noFaultDetected,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,relinquishDefault,inactive,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,statusFlags,"[0, 0, 0, 0]",192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,timeDelay,60,192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,timeOfActiveTimeReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 27]}",192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryOutput:8,timeOfStateCountReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 27]}",192.168.168.2,480,segmentedBoth,sf_enable_10,Supply Fan Enable,
2400002,binaryValue:1,ackedTransitions,"[1, 1, 1]",192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,activeText,On,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,alarmValue,inactive,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,changeOfStateCount,1,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,changeOfStateTime,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 23]}",192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,elapsedActiveTime,7604681,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,eventDetectionEnable,TRUE,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,eventEnable,"[0, 0, 0]",192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,eventState,normal,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,eventTimeStamps,"[<bacpypes.basetypes.TimeStamp object at 0x03584A30>, <bacpypes.basetypes.TimeStamp object at 0x035846A0>, <bacpypes.basetypes.TimeStamp object at 0x03584EB0>]",192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,inactiveText,Off,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,minimumOffTime,0,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,minimumOnTime,0,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,notificationClass,1,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,notifyType,alarm,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,outOfService,FALSE,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,presentValue,active,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,reliability,noFaultDetected,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,statusFlags,"[0, 0, 0, 0]",192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,timeDelay,60,192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,timeOfActiveTimeReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 23]}",192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:1,timeOfStateCountReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 23]}",192.168.168.2,480,segmentedBoth,adaptive_learning_inhibit_1,,
2400002,binaryValue:10,ackedTransitions,"[1, 1, 1]",192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,activeText,Occupied,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,alarmValue,inactive,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,changeOfStateCount,81,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,changeOfStateTime,"{""date"": [124, 3, 11, 1], ""time"": [4, 30, 0, 15]}",192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,elapsedActiveTime,4280984,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,eventDetectionEnable,TRUE,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,eventEnable,"[0, 0, 0]",192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,eventState,normal,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,eventTimeStamps,"[<bacpypes.basetypes.TimeStamp object at 0x03C8B958>, <bacpypes.basetypes.TimeStamp object at 0x03C8B970>, <bacpypes.basetypes.TimeStamp object at 0x03C8BA18>]",192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,inactiveText,Unoccupied,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,minimumOffTime,0,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,minimumOnTime,0,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,notificationClass,1,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,notifyType,alarm,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,outOfService,FALSE,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,presentValue,active,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,priorityArray,"[{""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""null"": []}, {""enumerated"": 1}]",192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,reliability,noFaultDetected,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,relinquishDefault,inactive,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,statusFlags,"[0, 0, 0, 0]",192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,timeDelay,60,192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,timeOfActiveTimeReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 22]}",192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:10,timeOfStateCountReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 22]}",192.168.168.2,480,segmentedBoth,schedule_1,Occupancy Schedule,
2400002,binaryValue:100,ackedTransitions,"[1, 1, 1]",192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,activeText,Hand,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,alarmValue,inactive,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,changeOfStateCount,0,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,changeOfStateTime,"{""date"": [255, 255, 255, 255], ""time"": [255, 255, 255, 255]}",192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,elapsedActiveTime,0,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,eventDetectionEnable,TRUE,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,eventEnable,"[0, 0, 0]",192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,eventState,offnormal,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,eventTimeStamps,"[<bacpypes.basetypes.TimeStamp object at 0x0361B7F0>, <bacpypes.basetypes.TimeStamp object at 0x0361B808>, <bacpypes.basetypes.TimeStamp object at 0x0361BF40>]",192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,inactiveText,Auto,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,minimumOffTime,0,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,minimumOnTime,0,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,notificationClass,1,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,notifyType,alarm,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,outOfService,FALSE,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,presentValue,inactive,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,reliability,noFaultDetected,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,statusFlags,"[1, 0, 0, 0]",192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,timeDelay,60,192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,timeOfActiveTimeReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 25]}",192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:100,timeOfStateCountReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 25]}",192.168.168.2,480,segmentedBoth,hand_auto_act_8,,
2400002,binaryValue:101,ackedTransitions,"[1, 1, 1]",192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,activeText,On,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,alarmValue,inactive,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,changeOfStateCount,0,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,changeOfStateTime,"{""date"": [255, 255, 255, 255], ""time"": [255, 255, 255, 255]}",192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,elapsedActiveTime,0,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,eventDetectionEnable,TRUE,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,eventEnable,"[0, 0, 0]",192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,eventState,offnormal,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,eventTimeStamps,"[<bacpypes.basetypes.TimeStamp object at 0x0361BAD8>, <bacpypes.basetypes.TimeStamp object at 0x0361BAF0>, <bacpypes.basetypes.TimeStamp object at 0x0361B280>]",192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,inactiveText,Off,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,minimumOffTime,0,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,minimumOnTime,0,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,notificationClass,1,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,notifyType,alarm,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,outOfService,FALSE,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,presentValue,inactive,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,reliability,noFaultDetected,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,statusFlags,"[1, 0, 0, 0]",192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,timeDelay,60,192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,timeOfActiveTimeReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 25]}",192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:101,timeOfStateCountReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 25]}",192.168.168.2,480,segmentedBoth,internal_error_8,,
2400002,binaryValue:107,ackedTransitions,"[1, 1, 1]",192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,activeText,Run,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,alarmValue,inactive,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,changeOfStateCount,129,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,changeOfStateTime,"{""date"": [124, 3, 11, 1], ""time"": [4, 30, 48, 42]}",192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,elapsedActiveTime,3937567,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,eventDetectionEnable,TRUE,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,eventEnable,"[0, 0, 0]",192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,eventState,normal,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,eventTimeStamps,"[<bacpypes.basetypes.TimeStamp object at 0x0361B388>, <bacpypes.basetypes.TimeStamp object at 0x0361B3A0>, <bacpypes.basetypes.TimeStamp object at 0x0361BAF0>]",192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,inactiveText,Stop,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,minimumOffTime,0,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,minimumOnTime,0,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,notificationClass,1,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,notifyType,alarm,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,outOfService,FALSE,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,presentValue,active,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,reliability,noFaultDetected,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,statusFlags,"[0, 0, 0, 0]",192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,timeDelay,60,192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,timeOfActiveTimeReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 25]}",192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:107,timeOfStateCountReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 25]}",192.168.168.2,480,segmentedBoth,run_stop_8,,
2400002,binaryValue:108,ackedTransitions,"[1, 1, 1]",192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,activeText,Enable,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,alarmValue,inactive,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,changeOfStateCount,1,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,changeOfStateTime,"{""date"": [123, 12, 14, 4], ""time"": [16, 23, 53, 23]}",192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,elapsedActiveTime,7604672,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,eventDetectionEnable,TRUE,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,eventEnable,"[0, 0, 0]",192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,eventState,normal,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,eventTimeStamps,"[<bacpypes.basetypes.TimeStamp object at 0x0361B3E8>, <bacpypes.basetypes.TimeStamp object at 0x0361B400>, <bacpypes.basetypes.TimeStamp object at 0x0361BB38>]",192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,inactiveText,Disable,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,minimumOffTime,0,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,minimumOnTime,0,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,notificationClass,1,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,notifyType,alarm,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,outOfService,FALSE,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,presentValue,active,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,reliability,noFaultDetected,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,statusFlags,"[0, 0, 0, 0]",192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,timeDelay,60,192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,timeOfActiveTimeReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 25]}",192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:108,timeOfStateCountReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 25]}",192.168.168.2,480,segmentedBoth,run_enable_8,,
2400002,binaryValue:109,ackedTransitions,"[1, 1, 1]",192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,activeText,On,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,alarmValue,inactive,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,changeOfStateCount,0,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,changeOfStateTime,"{""date"": [255, 255, 255, 255], ""time"": [255, 255, 255, 255]}",192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,elapsedActiveTime,0,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,eventDetectionEnable,TRUE,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,eventEnable,"[0, 0, 0]",192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,eventState,offnormal,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,eventTimeStamps,"[<bacpypes.basetypes.TimeStamp object at 0x0361BA90>, <bacpypes.basetypes.TimeStamp object at 0x0361BAA8>, <bacpypes.basetypes.TimeStamp object at 0x0361B238>]",192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,inactiveText,Off,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,minimumOffTime,0,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,minimumOnTime,0,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,notificationClass,1,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,notifyType,alarm,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,outOfService,FALSE,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,presentValue,inactive,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,reliability,noFaultDetected,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,statusFlags,"[1, 0, 0, 0]",192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,timeDelay,60,192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,timeOfActiveTimeReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 25]}",192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:109,timeOfStateCountReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 25]}",192.168.168.2,480,segmentedBoth,system_error_8,,
2400002,binaryValue:11,ackedTransitions,"[1, 1, 1]",192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,activeText,On,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,alarmValue,inactive,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,changeOfStateCount,131,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,changeOfStateTime,"{""date"": [124, 3, 11, 1], ""time"": [4, 30, 30, 82]}",192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,elapsedActiveTime,3936140,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,eventDetectionEnable,TRUE,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,eventEnable,"[0, 0, 0]",192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,eventState,normal,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,eventTimeStamps,"[<bacpypes.basetypes.TimeStamp object at 0x03584100>, <bacpypes.basetypes.TimeStamp object at 0x03584B68>, <bacpypes.basetypes.TimeStamp object at 0x035844D8>]",192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,inactiveText,Off,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,minimumOffTime,0,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,minimumOnTime,0,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,notificationClass,1,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,notifyType,alarm,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,outOfService,FALSE,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,presentValue,active,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,reliability,noFaultDetected,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,statusFlags,"[0, 0, 0, 0]",192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,timeDelay,60,192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,timeOfActiveTimeReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 23]}",192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:11,timeOfStateCountReset,"{""date"": [123, 12, 14, 4], ""time"": [16, 24, 54, 23]}",192.168.168.2,480,segmentedBoth,sf_status_1,Supply Fan Status,
2400002,binaryValue:110,ackedTransitions,"[1, 1, 1]",192.168.168.2,480,segmentedBoth,drive_fault_8,,
2400002,binaryValue:110,activeText,On,192.168.168.2,480,segmentedBoth,drive_fault_8,,
2400002,binaryValue:110,alarmValue,inactive,192.168.168.2,480,segmentedBoth,drive_fault_8,,
2400002,binaryValue:110,changeOfStateCount,0,192.168.168.2,480,segmentedBoth,drive_fault_8,,
2400002,binaryValue:110,changeOfStateTime,"{""date"": [255, 255, 255, 255], ""time"": [255, 255, 255, 255]}",192.168.168.2,480,segmentedBoth,drive_fault_8,,
2400002,binaryValue:110,elapsedActiveTime,0,192.168.168.2,480,segmentedBoth,drive_fault_8,,
2400002,binaryValue:110,eventDetectionEnable,TRUE,192.168.168.2,480,segmentedBoth,drive_fault_8,,
2400002,binaryValue:110,eventEnable,"[0, 0, 0]",192.168.168.2,480,segmentedBoth,drive_fault_8,,
